,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BX,734713238.8861748,924013942.5499748,1110716781.916871,1687387502.6658137,1563515707.9981787,827308357.3487033,4176775571.215033,2362350037.3971577,835623571.7748079,1975203905.801264
CAG,-430177977.70389205,-756539779.9025798,579038997.2144847,830916887.8905452,545635414.0761005,793555535.038316,1045446491.849752,828014919.187733,619888809.1822095,334417092.4291686
CAH,1335157853.58225,1413330982.1900897,1328625390.047627,954391891.8918918,1586497232.4004054,-2717250882.7835674,772338772.3387724,-689017089.3654077,470066904.1619602,948042576.2222624
CAT,2244917904.6129785,33716607.59055935,1010219205.8662922,6690840120.49537,4171416655.081329,2814091680.814941,4854790761.490967,7402855805.243445,7613138686.131386,7503084515.73103
CBRE,705260895.0556966,626420073.7265415,673417063.3467594,1381334763.948498,1066278653.0277013,791977382.6108334,1532708570.615034,2251036070.606293,1013199053.9406424,1055732113.7896287
CCL,1064204045.7343886,1266980146.290491,1213486762.6941338,1496154251.3960593,-216061333.5398436,-8843459722.856707,-6826741996.233521,-14003837543.97186,-655563665.3174973,-105575489.92547612
CDW,528250244.3792767,545269492.8754758,571742313.3235724,879021053.7565459,581603273.2232157,878984602.5801082,781501049.4318594,1633793809.1583524,959411902.7136936,982670499.9201406
CF,-1285728250.2443793,-1622229916.897507,565850682.5287882,808654791.8260299,695804706.9141937,741602926.504822,924889115.1021596,4240664845.173042,1627687016.3370593,1420454545.4545455
CFG,989247311.827957,1086430423.5090752,1291425965.339009,2140460989.0704467,1542844291.1762502,1203395208.6308107,1897584281.00397,3155778894.4723616,1461180242.7666233,1398264223.7222755
CHTR,41051705.60062555,-20321048465.124462,10495090697.287403,2061431285.6238124,3515945689.9273763,4411112097.2752285,5237746891.002194,6022753929.15787,1836539990.4595325,1970681458.0031693
CLX,610328638.4976526,592695330.5594083,581587651.5986769,806402593.455577,695500218.4359982,818802122.8203185,545774647.887324,450031036.6232154,138289438.91482428,276510312.1007483
CMCSA,6815871774.82408,6496395835.187328,18023057216.054653,11314648334.2147,10643366507.327011,10413954699.29706,12383992525.69293,6305510346.431063,11576885406.46425,15554361306.324928
CNP,-1276886976.9260852,129310344.82758622,1212173612.3119488,-40225261.46419952,-434397163.1205673,-1822742474.916388,-263445164.1074158,-2293994027.20938,-1783543111.5677712,-1809297411.516112
COO,148528405.20191652,291027228.8498315,370867150.79026055,234533898.3050848,355920281.3599062,187532693.98430687,2386433226.034388,600514832.066683,211443371.79185307,285737867.2829317
COP,-2247191011.2359548,1481792952.6532671,1484924053.502607,5963519313.304722,5323285606.6315,-655314341.0539907,6920948889.964728,18946084127.35301,6800906116.284924,5897009966.777409
COST,1086446313.318991,870119231.819423,1364919710.6052585,1680478338.4034407,1718962075.8483036,2739020422.917043,2906695572.4172435,5043519732.919995,3587638821.8252053,4006877353.8562303
CPB,575982788.969294,485570316.07879066,783835096.2842419,246987351.8573847,246056782.3343849,1548164066.1496775,933142652.842331,862086411.008803,806972240.1549387,444423021.3053118
CPRT,190976826.04869464,129781635.94057634,229594372.2231364,213998928.7627209,233062813.10211948,171991078.32203826,449614919.9637572,1147618863.5485115,678728996.4544473,829845541.4012738
CPT,63267801.25195618,1016189608.021878,691921582.4796891,99182970.09630004,129848564.4257703,55079392.47497411,227062389.6861331,878347200.3597932,468285997.35799205,288575884.42912257
CRL,176856612.2568664,198520762.00509173,141376109.10285902,268243053.3030598,224836601.30718955,362885179.9043865,318029739.7769517,598614612.8119372,356849055.17189044,103267988.41612832
CSCO,9965790245.332811,10200174825.174826,8912545037.667868,1606087146.9235823,9059491306.222158,10439672801.635992,9008118872.54902,15709726982.626167,10996983777.614738,10136746435.420662
CTRA,-433766614.54261136,-166475075.85609016,-74814451.52852705,185995397.00805524,243123635.48152345,17019750.243556816,909090909.090909,4511533242.876527,968384366.4426188,996082353.9218138
