,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ECL,,1229599996.6089194,1504599994.7298086,1429100001.0328856,1558899993.1224177,-1205100005.6637394,1129899992.4387245,1091700005.187908,1372299992.6958404,2112399994.2484295
EIX,,1433999997.8876314,688999997.5870017,-301999999.8180136,1404999996.3984816,870999994.5963379,924999989.2993556,824000004.1455538,1406999992.2420115,1545999994.0257902
EL,,1114599998.1580467,1248999997.4414418,1108000000.8273952,1784999994.4396822,683999997.0706837,2869999995.0366945,2390000006.1640954,1005999992.3489444,389999993.32125294
ELV,,2469999987.0179343,3842999975.954377,3750000005.748067,4806999965.710577,4571999971.903805,6157999946.654895,5894000015.625422,5986999973.482999,5979999975.451325
EMN,,865999994.6898247,1473999989.8318226,1080000003.3280916,758999981.365487,477999989.5537828,856999981.2081555,793000010.415913,893999986.5381433,904999987.3059752
ENPH,,-67462000.07383281,-45192000.004092924,-11627000.006018445,161147999.9817217,133994999.4895245,145448998.18215987,397362001.1104291,438935997.2815268,102657996.96930157
EPAM,,99265998.3726718,72759996.3350316,240256001.5459942,261056990.59503916,327159993.9353251,481651986.079424,419416014.5824303,417082977.31043273,454532980.7678849
EQIX,,126799996.42377864,232981991.69395983,365359001.6464164,507449986.7725715,369776987.1513813,500190971.57006246,704345017.5889273,969177968.3950968,814999968.607958
ES,,942301997.9112856,987995998.0956992,1032999999.663148,909052997.5507137,1205166995.304009,1220526990.0405142,1404875002.708366,-442240006.7181539,811652995.0359701
ESS,,414978990.4502752,433058987.991382,390153001.0234265,439285986.3573127,568869984.2567294,488553970.3259024,408315011.7910301,405824980.561992,741521980.0617003
ETR,,-564503001.7514646,425352998.17769,862554999.7941904,1258243998.5444229,1406652996.2960105,1118718992.381497,1097138002.0194707,2362309995.3039985,1061183996.2584348
EXC,,1133999997.3216765,3769999996.520183,2009999999.7746584,2935999997.039591,1962999994.119533,1705999988.5209692,2170000003.3530354,2327999995.933629,2459999997.315405
EXR,,366126999.1053056,479012998.89261526,415289000.0420869,419966998.7592944,481778998.7195364,827648997.4359919,860688002.15991,803197996.1099472,854680984.3918905
FANG,,-165034001.0914351,481999996.4783741,846000001.4726945,239999981.78280503,-4517000011.823602,2181999985.1083364,4386000007.644491,3142999988.826774,3337999989.492097
FDS,,338814998.15181017,258258996.97755772,267085000.73139933,352789995.9974153,372937996.859683,399589992.585629,396917003.7346048,468172991.965988,537125990.9522642
FE,,-6177000002.0880165,-1724000001.3018603,1347999999.9531174,911999998.777961,1078999998.1006887,1282999996.244105,406000001.163843,1101999997.2986448,977999997.860804
FRT,,249909998.06182012,289913997.05334574,241907000.4203929,353865995.6872805,135887994.50436112,261497989.56296548,385491004.738233,236984991.72041148,295207993.0094577
GD,,2571999995.0388627,2911999992.348657,3345000002.1970844,3483999987.738992,3166999992.0232863,3256999983.5284686,3390000006.6418247,3314999988.4104667,3781999987.557448
GIS,,1697399999.0763783,1657499998.7522366,2131000000.070588,1752699998.4688003,2181199998.976374,2339799997.9544654,2707300000.372839,2593899998.274608,2496599999.418178
GL,,549778993.3159759,1453999987.436342,701000004.1096098,760789980.7285928,731772980.5927415,744958956.1478454,739704014.7112054,970754990.617981,1070761992.0190524
GM,,9426999993.905195,-3864000010.817311,8014000002.2662115,6731999986.848949,6426999990.551719,10018999980.9668,9934000016.644997,10021999974.68867,6007999979.884374
GNRC,,98787998.74331369,159385998.12371364,238257000.67889208,253259995.6544871,349328996.66451454,533391991.4759147,350267013.47865605,203088981.2282406,325255983.19504136
GOOG,,19477999996.9066,12661999994.605186,30736000002.60892,34342999986.757565,40268999993.7224,76032999987.15855,59972000011.923225,73794999983.51431,100117999982.61572
GOOGL,,19477999997.135468,12661999994.967176,30736000002.39317,34342999987.78464,40268999994.13817,76032999987.9433,59972000011.18041,73794999984.71413,100117999983.98505
HAS,,551379998.5938221,396606997.515237,220434000.40423173,520499996.69073415,222499996.0617992,428699993.4134479,203500003.2471874,-1489300005.2361696,385599998.12949055
HSIC,,506777996.9816068,406298995.69859535,535881001.04841626,507965000.0,402221996.27679735,623913992.1191041,538000003.3573582,415999994.7252563,389999994.5823105
HSY,,720043999.3742818,782980999.3630288,1177562000.0222392,1149691999.0191998,1278707998.5562434,1477511996.447282,1644817000.7573578,1861786997.525988,2221238997.4825416
IFF,,405030999.1529769,295664998.69314235,334454000.2485897,453999994.5912254,364999996.314715,267999992.853327,-1867999985.684432,-2565000018.2882566,242999986.9919561
INTU,,978999998.6926842,970999999.0933924,1329000000.389743,1556999996.7871623,1825999997.2826304,2061999992.977906,2066000011.3700936,2383999975.599111,2962999978.224009
IP,,903999998.877249,2143999997.911044,2012000000.8448343,1224999995.2666304,481999997.11075455,1751999994.916091,1504000002.256577,287999996.38903487,556999997.2500104
IPG,,608499999.1966599,578999998.7697394,618900000.2962298,655999998.2953187,351099998.4261223,952799996.8789403,938000001.9632614,1098399997.218861,689499997.5638782
IRM,,104823999.78998338,183820998.7879752,363351000.2432764,267376998.82703903,342692999.2491715,450218998.9143757,556981000.4143819,184233999.45549503,180155999.82256997
ISRG,,735899998.6901227,659999997.1966352,1127900001.274717,1379299991.951437,1060599995.421746,1704599990.015048,1322300009.0859396,1797999989.1604383,2322599989.19238
K,,698999999.4770718,1253999999.3659556,1336000000.0406888,959999998.963885,1277999999.3383825,1494999998.7504883,962000000.0534586,950999999.040612,1355999999.6733136
KDP,,846999999.8558681,1075999999.8525062,585999999.9859282,1253999997.8803525,1324999998.1734483,2145999996.6481829,1436000001.3509972,2180999997.444092,1440999998.3085303
